id,post_type,url,title,slug,category,word_count,unique_ratio,h1_count,h2_count,h3_count,h1_text,lang_title,lang_body,city,service,cluster_size,fingerprint,similar_score,similar_to,img_count,phones,problems,notes
3010,post,https://rukn-eltatawer.com/eg/%d8%b5%d9%8a%d8%a7%d9%86%d8%a9-%d8%a7%d9%84%d8%aa%d9%83%d9%8a%d9%8a%d9%81/,صيانة التكييف,%d8%b5%d9%8a%d8%a7%d9%86%d8%a9-%d8%a7%d9%84%d8%aa%d9%83%d9%8a%d9%8a%d9%81,maint,4,1.000,0,0,0,,ar,ar,,صيانة,1,bafdf1724941302e,0.0,,0,,missing_cta|missing_faq|missing_h1|missing_h2|missing_image|stub_page|thin_content,عدد الكلمات 4 أقل من 1000 • لا توجد وسمة <img> داخل المحتوى المنشور • صفحة شبه فارغة (أقل من 80 كلمة) — غالباً تصنيف خدمة بلا دليل • لا يوجد H1 داخل المحتوى (قد يعتمد المقال على عنوان القالب فقط) • عدد H2 = 0 • لا يوجد رابط tel: أو wa.me في المحتوى • لا يظهر قسم أسئلة شائعة في العناوين
3011,post,https://rukn-eltatawer.com/eg/%d8%aa%d9%86%d8%b8%d9%8a%d9%81-%d9%88%d8%aa%d8%b9%d9%82%d9%8a%d9%85/,تنظيف وتعقيم,%d8%aa%d9%86%d8%b8%d9%8a%d9%81-%d9%88%d8%aa%d8%b9%d9%82%d9%8a%d9%85,clean,5,1.000,0,0,0,,ar,ar,,تنظيف,1,3f22ab9196c95e0b,0.0,,0,,missing_cta|missing_faq|missing_h1|missing_h2|missing_image|stub_page|thin_content,عدد الكلمات 5 أقل من 1000 • لا توجد وسمة <img> داخل المحتوى المنشور • صفحة شبه فارغة (أقل من 80 كلمة) — غالباً تصنيف خدمة بلا دليل • لا يوجد H1 داخل المحتوى (قد يعتمد المقال على عنوان القالب فقط) • عدد H2 = 0 • لا يوجد رابط tel: أو wa.me في المحتوى • لا يظهر قسم أسئلة شائعة في العناوين
3013,post,https://rukn-eltatawer.com/eg/%d8%b3%d8%a8%d8%a7%d9%83%d8%a9-%d9%88%d8%b5%d9%8a%d8%a7%d9%86%d8%a9-%d8%b9%d8%a7%d9%85%d8%a9/,سباكة وصيانة عامة,%d8%b3%d8%a8%d8%a7%d9%83%d8%a9-%d9%88%d8%b5%d9%8a%d8%a7%d9%86%d8%a9-%d8%b9%d8%a7%d9%85%d8%a9,maint,5,1.000,0,0,0,,ar,ar,,سباكة,1,d2fb1234ec7f47a9,0.0,,0,,missing_cta|missing_faq|missing_h1|missing_h2|missing_image|stub_page|thin_content,عدد الكلمات 5 أقل من 1000 • لا توجد وسمة <img> داخل المحتوى المنشور • صفحة شبه فارغة (أقل من 80 كلمة) — غالباً تصنيف خدمة بلا دليل • لا يوجد H1 داخل المحتوى (قد يعتمد المقال على عنوان القالب فقط) • عدد H2 = 0 • لا يوجد رابط tel: أو wa.me في المحتوى • لا يظهر قسم أسئلة شائعة في العناوين
3009,post,https://rukn-eltatawer.com/eg/%d8%b9%d8%b2%d9%84-%d8%a7%d9%84%d8%a3%d8%b3%d8%b7%d8%ad/,عزل الأسطح,%d8%b9%d8%b2%d9%84-%d8%a7%d9%84%d8%a3%d8%b3%d8%b7%d8%ad,insul,6,0.998,0,0,0,,ar,ar,,عزل الأسطح,1,c5d158c9ff15832b,0.002,https://rukn-eltatawer.com/eg/villa-finishing-suez/,0,,intent_service_missing|missing_cta|missing_faq|missing_h1|missing_h2|missing_image|stub_page|thin_content,عدد الكلمات 6 أقل من 1000 • لا توجد وسمة <img> داخل المحتوى المنشور • صفحة شبه فارغة (أقل من 80 كلمة) — غالباً تصنيف خدمة بلا دليل • لا يوجد H1 داخل المحتوى (قد يعتمد المقال على عنوان القالب فقط) • عدد H2 = 0 • لا يوجد رابط tel: أو wa.me في المحتوى • لا يظهر قسم أسئلة شائعة في العناوين • الخدمة «عزل الأسطح» في العنوان ضعيفة الحضور في المقدمة
3012,post,https://rukn-eltatawer.com/eg/%d9%85%d9%83%d8%a7%d9%81%d8%ad%d8%a9-%d8%a7%d9%84%d8%ad%d8%b4%d8%b1%d8%a7%d8%aa/,مكافحة الحشرات,%d9%85%d9%83%d8%a7%d9%81%d8%ad%d8%a9-%d8%a7%d9%84%d8%ad%d8%b4%d8%b1%d8%a7%d8%aa,clean,6,1.000,0,0,0,,ar,ar,,مكافحة الحشرات,1,b95d1d9b69cbe818,0.0,,0,,intent_service_missing|missing_cta|missing_faq|missing_h1|missing_h2|missing_image|stub_page|thin_content,عدد الكلمات 6 أقل من 1000 • لا توجد وسمة <img> داخل المحتوى المنشور • صفحة شبه فارغة (أقل من 80 كلمة) — غالباً تصنيف خدمة بلا دليل • لا يوجد H1 داخل المحتوى (قد يعتمد المقال على عنوان القالب فقط) • عدد H2 = 0 • لا يوجد رابط tel: أو wa.me في المحتوى • لا يظهر قسم أسئلة شائعة في العناوين • الخدمة «مكافحة الحشرات» في العنوان ضعيفة الحضور في المقدمة
3026,post,https://rukn-eltatawer.com/eg/%d8%a3%d9%87%d9%85%d9%8a%d8%a9-%d8%a7%d9%84%d8%b5%d9%8a%d8%a7%d9%86%d8%a9-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a%d8%a9/,أهمية الصيانة الدورية,%d8%a3%d9%87%d9%85%d9%8a%d8%a9-%d8%a7%d9%84%d8%b5%d9%8a%d8%a7%d9%86%d8%a9-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a%d8%a9,uncategorized,7,1.000,0,0,0,,ar,ar,,صيانة,1,24f696e17175f3b0,0.0,,0,,intent_title_body|missing_cta|missing_faq|missing_h1|missing_h2|missing_image|stub_page|thin_content,عدد الكلمات 7 أقل من 1000 • لا توجد وسمة <img> داخل المحتوى المنشور • صفحة شبه فارغة (أقل من 80 كلمة) — غالباً تصنيف خدمة بلا دليل • لا يوجد H1 داخل المحتوى (قد يعتمد المقال على عنوان القالب فقط) • عدد H2 = 0 • لا يوجد رابط tel: أو wa.me في المحتوى • لا يظهر قسم أسئلة شائعة في العناوين • تطابق ضعيف بين العنوان ومقدمة النص (33%)
3008,post,https://rukn-eltatawer.com/eg/%d9%83%d8%b4%d9%81-%d8%aa%d8%b3%d8%b1%d8%a8%d8%a7%d8%aa-%d8%a7%d9%84%d9%85%d9%8a%d8%a7%d9%87/,كشف تسربات المياه,%d9%83%d8%b4%d9%81-%d8%aa%d8%b3%d8%b1%d8%a8%d8%a7%d8%aa-%d8%a7%d9%84%d9%85%d9%8a%d8%a7%d9%87,leak,7,1.000,0,0,0,,ar,ar,,كشف تسرب,1,59fd5cd2bbc5f11c,0.0,,0,,intent_service_missing|intent_title_body|missing_cta|missing_faq|missing_h1|missing_h2|missing_image|stub_page|thin_content,عدد الكلمات 7 أقل من 1000 • لا توجد وسمة <img> داخل المحتوى المنشور • صفحة شبه فارغة (أقل من 80 كلمة) — غالباً تصنيف خدمة بلا دليل • لا يوجد H1 داخل المحتوى (قد يعتمد المقال على عنوان القالب فقط) • عدد H2 = 0 • لا يوجد رابط tel: أو wa.me في المحتوى • لا يظهر قسم أسئلة شائعة في العناوين • تطابق ضعيف بين العنوان ومقدمة النص (33%) • الخدمة «كشف تسرب» في العنوان ضعيفة الحضور في المقدمة
3024,post,https://rukn-eltatawer.com/eg/%d9%86%d8%b5%d8%a7%d8%a6%d8%ad-%d9%84%d9%84%d8%b9%d9%86%d8%a7%d9%8a%d8%a9-%d8%a8%d8%a7%d9%84%d9%85%d9%86%d8%b2%d9%84/,نصائح للعناية بالمنزل,%d9%86%d8%b5%d8%a7%d8%a6%d8%ad-%d9%84%d9%84%d8%b9%d9%86%d8%a7%d9%8a%d8%a9-%d8%a8%d8%a7%d9%84%d9%85%d9%86%d8%b2%d9%84,uncategorized,8,1.000,0,0,0,,ar,ar,,,1,dcc85c6f33a9b6bd,0.0,,0,,intent_title_body|missing_cta|missing_faq|missing_h1|missing_h2|missing_image|stub_page|thin_content,عدد الكلمات 8 أقل من 1000 • لا توجد وسمة <img> داخل المحتوى المنشور • صفحة شبه فارغة (أقل من 80 كلمة) — غالباً تصنيف خدمة بلا دليل • لا يوجد H1 داخل المحتوى (قد يعتمد المقال على عنوان القالب فقط) • عدد H2 = 0 • لا يوجد رابط tel: أو wa.me في المحتوى • لا يظهر قسم أسئلة شائعة في العناوين • تطابق ضعيف بين العنوان ومقدمة النص (0%)
3025,post,https://rukn-eltatawer.com/eg/%d9%85%d8%aa%d9%89-%d8%aa%d8%ad%d8%aa%d8%a7%d8%ac-%d9%84%d9%81%d8%ad%d8%b5-%d8%a7%d9%84%d8%aa%d8%b3%d8%b1%d8%a8%d8%a7%d8%aa%d8%9f/,متى تحتاج لفحص التسربات؟,%d9%85%d8%aa%d9%89-%d8%aa%d8%ad%d8%aa%d8%a7%d8%ac-%d9%84%d9%81%d8%ad%d8%b5-%d8%a7%d9%84%d8%aa%d8%b3%d8%b1%d8%a8%d8%a7%d8%aa%d8%9f,uncategorized,9,1.000,0,0,0,,ar,ar,,تسربات,1,a5a087bae6552956,0.0,,0,,intent_title_body|missing_cta|missing_faq|missing_h1|missing_h2|missing_image|stub_page|thin_content,عدد الكلمات 9 أقل من 1000 • لا توجد وسمة <img> داخل المحتوى المنشور • صفحة شبه فارغة (أقل من 80 كلمة) — غالباً تصنيف خدمة بلا دليل • لا يوجد H1 داخل المحتوى (قد يعتمد المقال على عنوان القالب فقط) • عدد H2 = 0 • لا يوجد رابط tel: أو wa.me في المحتوى • لا يظهر قسم أسئلة شائعة في العناوين • تطابق ضعيف بين العنوان ومقدمة النص (0%)
569,post,https://rukn-eltatawer.com/eg/en/carpenter-ismailia-en/,"Carpenter in Ismailia, Egypt",carpenter-ismailia-en,"cleaning-en-en,--en",214,0.422,1,5,3,"Carpenter in Ismailia, Egypt",en,en,Ismailia,Carpenter,19,d869defa7a647be0,0.578,https://rukn-eltatawer.com/eg/en/carpenter-zagazig-en/,0,201007707742,intent_category_mismatch|missing_image|near_duplicate|similar_content|template_overuse|thin_content,"عدد الكلمات 214 أقل من 1000 • لا توجد وسمة <img> داخل المحتوى المنشور • التصنيف cleaning-en-en,--en لا يطابق العنوان • نفس القالب الهيكلي في 19 مقالاً • تشابه 88% مع Plumber in Ismailia, Egypt"
