score,url_a,title_a,url_b,title_b,same_service,same_city
0.944,https://rukn-eltatawer.com/eg/en/villa-finishing-fifth-settlement-en/,"Villa finishing in Fifth Settlement, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-fifth-settlement-en/,"Apartment finishing in Fifth Settlement, Egypt",False,True
0.939,https://rukn-eltatawer.com/eg/en/villa-finishing-zamalek-en/,"Villa finishing in Zamalek, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-zamalek-en/,"Apartment finishing in Zamalek, Egypt",False,True
0.939,https://rukn-eltatawer.com/eg/en/villa-finishing-sheikh-zayed-en/,"Villa finishing in Sheikh Zayed, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-sheikh-zayed-en/,"Apartment finishing in Sheikh Zayed, Egypt",False,True
0.938,https://rukn-eltatawer.com/eg/en/villa-finishing-6-october-en/,"Villa finishing in 6th of October, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-6-october-en/,"Apartment finishing in 6th of October, Egypt",False,True
0.938,https://rukn-eltatawer.com/eg/en/villa-finishing-mansoura-en/,"Villa finishing in Mansoura, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-mansoura-en/,"Apartment finishing in Mansoura, Egypt",False,True
0.938,https://rukn-eltatawer.com/eg/en/villa-finishing-nasr-city-en/,"Villa finishing in Nasr City, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-nasr-city-en/,"Apartment finishing in Nasr City, Egypt",False,True
0.938,https://rukn-eltatawer.com/eg/en/villa-finishing-badr-city-en/,"Villa finishing in Badr City, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-badr-city-en/,"Apartment finishing in Badr City, Egypt",False,True
0.937,https://rukn-eltatawer.com/eg/en/villa-finishing-beni-suef-en/,"Villa finishing in Beni Suef, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-beni-suef-en/,"Apartment finishing in Beni Suef, Egypt",False,True
0.937,https://rukn-eltatawer.com/eg/en/villa-finishing-al-rehab-en/,"Villa finishing in Al Rehab, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-al-rehab-en/,"Apartment finishing in Al Rehab, Egypt",False,True
0.937,https://rukn-eltatawer.com/eg/en/villa-finishing-kafr-el-sheikh-en/,"Villa finishing in Kafr El Sheikh, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-kafr-el-sheikh-en/,"Apartment finishing in Kafr El Sheikh, Egypt",False,True
0.936,https://rukn-eltatawer.com/eg/en/villa-finishing-madinaty-en/,"Villa finishing in Madinaty, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-madinaty-en/,"Apartment finishing in Madinaty, Egypt",False,True
0.936,https://rukn-eltatawer.com/eg/en/villa-finishing-damietta-en/,"Villa finishing in Damietta, Egypt",https://rukn-eltatawer.com/eg/en/apartment-finishing-damietta-en/,"Apartment finishing in Damietta, Egypt",False,True
